X1,X2,Y (Ground Truth),Sigmoid(P) (Prediction),Error Squared
1.1980991552486089,0.12830018805037433,1,0.9999368453997465,3.98850353318232e-09
0.9596822925595325,0.9707692813708223,1,0.9999989847648629,1.0307023835406911e-12
-1.0429447688648974,-0.33846380114659963,0,3.7675664978519434e-05,1.4194557315736358e-09
0.5361359769671965,0.8090134738467434,1,0.9999275847988314,5.243961360293101e-09
-0.7298088581794804,-0.9328120631610994,0,5.9772556424643114e-06,3.572758501537145e-11
0.5544752307782835,0.8166442947007314,1,0.9999400645753284,3.59225513057009e-09
0.859155264206044,0.7789959514440223,1,0.9999918232443894,6.685933231548666e-11
-1.5860207102271227,-0.6419315240555804,0,8.087525174451947e-08,6.5408063447394e-15
-0.8520423235440914,-1.139604676202306,0,5.689251840207865e-07,3.2367586501308575e-13
0.757721436439324,0.7288192164992618,1,0.9999753863372381,6.058323945541829e-10
1.6833710139360363,1.142195083531708,1,0.9999999985581178,2.079024189907302e-18
-1.1471286041135471,-0.5251418901056656,0,4.71830764725486e-06,2.2262427054143693e-11
1.2307308808940909,0.9463069003543388,1,0.9999998380082611,2.6241323475648554e-14
0.7381047231199181,1.4549040978034413,1,0.9999998231569533,3.1273463148767956e-14
1.4226345021596063,2.1010684119662435,1,0.9999999999878926,1.4658976852852348e-22
0.5055795333144764,0.8131472919049203,1,0.999911793958346,7.780305784275767e-09
1.8226633800773078,0.504586693203753,1,0.9999999554465824,1.985007021790026e-15
-1.1650859204923663,-0.09026415414535058,0,8.662995677057784e-05,7.504749410072186e-09
-1.19022343251823,-2.1871539022720254,0,3.0490753178230414e-11,9.296860293757682e-22
-0.6498160784561836,0.504005733288612,0,0.20089179392985695,0.040357512868356114
,Average Error (MSE),,,0.00403119106168024
